name,stikethrough_price,discounted_price,available_rooms,num_of_times_booked,booking_timeframe,city_and_state
"Tilt Hotel Universal Hollywood, an Ascend Hotel Collection Member","Rs. 94,625","Rs. 94,625",0,4,6,"Los Angeles, CA"
DTLA Plush Modern Luxury Living,"Rs. 127,735","Rs. 88,442",0,Not Found,8,"Los Angeles, CA"
The Garland,"Rs. 130,312","Rs. 130,312",0,2,6,"Los Angeles, CA"
Hyde Park Motel,"Rs. 31,563","Rs. 31,563",3,4,12,"Los Angeles, CA"
Barrington Apartment B625,"Rs. 78,007","Rs. 63,964",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Rodeway Inn Los Angeles,"Rs. 77,293","Rs. 66,665",0,2,24,"Los Angeles, CA"
Regal Inn,"Rs. 34,269","Rs. 34,269",2,Not Found,4,"Los Angeles, CA"
Ashton Towers 520,"Rs. 102,355","Rs. 83,160",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Crenshaw Inn Motel,"Rs. 30,900","Rs. 30,900",2,Not Found,6,"Los Angeles, CA"
DTLA Cozy Oasis Resort Suite,"Rs. 102,613","Rs. 74,270",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Ginosi Marina Del Rey Apartel,"Rs. 74,397","Rs. 56,230",0,2,24,"Los Angeles, CA"
Sea Rock Inn - Los Angeles,"Rs. 36,708","Rs. 36,708",5,4,6,"Los Angeles, CA"
Hollywood Guest Inn,"Rs. 44,768","Rs. 42,514",3,Not Found,2,"Los Angeles, CA"
Midvale 327,"Rs. 99,264","Rs. 77,491",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Sunset at Marina Del Rey,"Rs. 74,397","Rs. 56,230",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Garden Suite Hotel and Resort,"Rs. 87,411","Rs. 87,411",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Foxy's Motor Inn,"Rs. 36,068","Rs. 36,068",0,Not Found,3,"Los Angeles, CA"
JJ Grand Hotel,"Rs. 85,221","Rs. 85,221",0,Not Found,4,"Los Angeles, CA"
Barrington Apartment B123,"Rs. 71,694","Rs. 58,167",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Marina 7 Motel,"Rs. 62,676","Rs. 62,676",0,Not Found,4,"Los Angeles, CA"
The Orsini,"Rs. 90,181","Rs. 90,181",0,Not Found,12,"Los Angeles, CA"
Stuart Hotel,"Rs. 37,683","Rs. 30,211",4,14,6,"Los Angeles, CA"
Marina Apartel,"Rs. 77,752","Rs. 62,839",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Ramona Motel,"Rs. 37,361","Rs. 34,591",6,2,24,"Los Angeles, CA"
Rotex Hotel,"Rs. 62,464","Rs. 62,464",2,2,6,"Los Angeles, CA"
LA Central Apartel,"Rs. 106,729","Rs. 59,861",3,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Royal Pagoda Motel,"Rs. 60,099","Rs. 49,149",0,5,6,"Los Angeles, CA"
El Patio Inn,"Rs. 66,541","Rs. 60,743",0,2,24,"Los Angeles, CA"
Park Motel,"Rs. 39,553","Rs. 30,795",2,3,12,"Los Angeles, CA"
Extended Stay America - Los Angeles - LAX Airport,"Rs. 69,886","Rs. 58,855",3,Not Found,7,"Los Angeles, CA"
Santa Monica Motel,"Rs. 74,960","Rs. 70,902",0,Not Found,48,"Los Angeles, CA"
Rotex Western Inn,"Rs. 47,345","Rs. 47,345",1,2,6,"Los Angeles, CA"
EC Motel,"Rs. 29,528","Rs. 29,528",3,4,24,"Los Angeles, CA"
New Bay Motel,"Rs. 32,209","Rs. 32,209",3,2,24,"Los Angeles, CA"
Travel Inn,"Rs. 31,241","Rs. 31,241",2,4,6,"Los Angeles, CA"
Barrington Apartment A4506,"Rs. 96,043","Rs. 78,780",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Eagle Rock Motel,"Rs. 54,882","Rs. 54,882",4,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Top Hat Motel,"Rs. 33,818","Rs. 33,818",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Legend Hotel Hollywood,"Rs. 80,197","Rs. 63,771",3,Not Found,6,"Los Angeles, CA"
House in Hollywood Hills,"Rs. 572,971","Rs. 442,853",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Fountain Suites,"Rs. 104,786","Rs. 50,144",3,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Luxury Studio Loft,"Rs. 111,824","Rs. 111,824",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Central Inn Motel,"Rs. 27,805","Rs. 27,805",1,2,6,"Los Angeles, CA"
Oceana Los Angeles Vacation Rental,"Rs. 52,305","Rs. 39,586",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Luxury Penthouse Best Location in LA,"Rs. 184,871","Rs. 184,871",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Hollywood Palms Inns & Suites,"Rs. 52,498","Rs. 52,498",4,2,6,"Los Angeles, CA"
Studio City Inn,"Rs. 56,234","Rs. 56,234",3,3,6,"Los Angeles, CA"
Palmer Apartel,"Rs. 107,387","Rs. 41,624",3,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Rodeway Inn Culver City,"Rs. 54,109","Rs. 48,311",5,Not Found,2,"Los Angeles, CA"
Parlour Motel,"Rs. 30,795","Rs. 30,795",0,3,6,"Los Angeles, CA"
Galaxy Inn,"Rs. 49,273","Rs. 49,273",5,Not Found,10,"Los Angeles, CA"
William Randolph Hearst Four Bedroom Suite in the Famous Historic Los Altos Hotel,"Rs. 450,905","Rs. 450,905",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Furnished Suite near Beverly Hills,"Rs. 45,091","Rs. 45,091",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
HOLLYWOOD BEAUTIFUL APARTMENT,"Rs. 89,730","Rs. 89,730",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
SandPiper Motel - Los Angeles,"Rs. 30,458","Rs. 30,458",3,Not Found,9,"Los Angeles, CA"
Koko's Properties,"Rs. 89,730","Rs. 84,577",0,Not Found,10,"Los Angeles, CA"
Hollywood Luxury Cottage,"Rs. 268,288","Rs. 268,288",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Mount Olympus Villa,"Rs. 991,991","Rs. 991,991",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Walk of Fame Hostel,"Rs. 18,165","Rs. 18,165",5,13,6,"Los Angeles, CA"
USA Hostels 
