name,stikethrough_price,discounted_price,available_rooms,num_of_times_booked,booking_timeframe,city_and_state
L.A. Sky Boutique Hotel,"Rs. 93,337","Rs. 93,337",3,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Sunset Suites Apartment,"Rs. 141,384","Rs. 123,484",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Wilshire Place Apartment,"Rs. 128,023","Rs. 85,381",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Walk to the Beach! Resort Style Apartment,"Rs. 169,089","Rs. 169,089",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Hilgard House Westwood Village,"Rs. 89,279","Rs. 89,279",0,Not Found,6,"Los Angeles, CA"
Hollywood Zen Suite,"Rs. 101,566","Rs. 101,566",0,Not Found,5,"Los Angeles, CA"
Downtown Gold,"Rs. 134,386","Rs. 66,188",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Comfort Inn & Suites Near Universal - North Hollywood – Burbank,"Rs. 83,289","Rs. 83,289",4,Not Found,3,"Los Angeles, CA"
The Hollywood Ray Apartment,"Rs. 141,384","Rs. 111,385",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Courtyard by Marriott Santa Monica,"Rs. 156,078","Rs. 156,078",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Best Western Plus Gateway Hotel,"Rs. 105,190","Rs. 92,951",4,2,6,"Los Angeles, CA"
San Clemente,"Rs. 60,922","Rs. 47,378",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Avenue Hotel,"Rs. 64,410","Rs. 55,070",5,3,6,"Los Angeles, CA"
Luxury Studio Next to LA Live,"Rs. 119,490","Rs. 119,490",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Super 8 Hollywood,"Rs. 59,713","Rs. 47,564",4,3,6,"Los Angeles, CA"
Venice Beach Hostel,"Rs. 64,093","Rs. 64,093",4,2,6,"Los Angeles, CA"
Tuck Hotel,"Rs. 141,906","Rs. 141,906",2,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Hollywood Hills Luxury Villa,"Rs. 583,922","Rs. 583,922",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Bird Rock,"Rs. 74,515","Rs. 46,727",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Ace Hotel Downtown Los Angeles,"Rs. 180,555","Rs. 127,735",3,2,6,"Los Angeles, CA"
Travelodge Culver City,"Rs. 90,176","Rs. 68,924",2,Not Found,6,"Los Angeles, CA"
Strathmore Apartments,"Rs. 89,730","Rs. 76,847",0,Not Found,8,"Los Angeles, CA"
Hampton Inn Los Angeles Int'l Airport/Hawthorne,"Rs. 81,743","Rs. 66,927",0,7,6,"Los Angeles, CA"
The Angels Suites,"Rs. 106,729","Rs. 59,861",3,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Sheraton Universal,"Rs. 124,770","Rs. 124,770",5,Not Found,6,"Los Angeles, CA"
Hollywood Stars Apartment,"Rs. 112,459","Rs. 84,178",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
The Ginosi Hollywood and Highland Apartel,"Rs. 112,459","Rs. 84,178",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
La Mirage Inn,"Rs. 38,327","Rs. 38,327",4,Not Found,11,"Los Angeles, CA"
The Milner Hotel,"Rs. 68,177","Rs. 47,564",3,2,6,"Los Angeles, CA"
Gayley Apartment 720,"Rs. 67,185","Rs. 58,167",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Hollywood Nights Apartment,"Rs. 139,929","Rs. 139,929",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Highland Diamond,"Rs. 111,385","Rs. 111,385",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Hollywood Hotel - The Hotel of Hollywood Near Universal Studios,"Rs. 84,963","Rs. 44,831",3,7,6,"Los Angeles, CA"
Sheraton Grand Los Angeles,"Rs. 165,739","Rs. 129,798",3,Not Found,6,"Los Angeles, CA"
Four Points by Sheraton Los Angeles Westside,"Rs. 87,476","Rs. 69,426",0,2,12,"Los Angeles, CA"
Gayley Apartment 535,"Rs. 79,810","Rs. 62,676",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Classic Hollywood Studio,"Rs. 96,436","Rs. 62,077",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Hotel Carmel By The Sea,"Rs. 86,509","Rs. 86,509",4,4,12,"Los Angeles, CA"
Ellison Building,"Rs. 96,880","Rs. 96,880",0,3,6,"Los Angeles, CA"
Best Western Plus Dragon Gate Inn,"Rs. 111,370","Rs. 70,712",3,4,12,"Los Angeles, CA"
Malibu Creek,"Rs. 74,515","Rs. 46,727",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Park Plaza Lodge,"Rs. 54,785","Rs. 54,785",3,Not Found,7,"Los Angeles, CA"
Wilshire Residence Apartment,"Rs. 106,729","Rs. 61,402",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Ashton Apartment 324,"Rs. 89,279","Rs. 78,135",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Casa Di Amour,"Rs. 901,810","Rs. 901,810",0,Data Not Fouund,Data Not Fouund,"Los Angeles, CA"
Mosaic Hotel,"Rs. 133,513","Rs. 133,513",0,Not Found,6,"Los Angeles, CA"
